Iteration,Cluster,Jaccard,Observed_Subsample_Size,Equivalent_Full_Size
1,0,0.8479020979020979,512,602.4955286691215
1,1,0.5345132743362832,538,633.0910047343503
1,2,0.8196555217831814,810,953.1667543398212
1,3,1.0,21,24.711730668069436
1,4,1.0,20,23.53498158863756
2,0,0.7749140893470791,495,582.4907943187796
2,1,0.5987124463519313,414,487.17411888479745
2,2,0.9300699300699301,946,1113.2046291425565
2,3,1.0,28,32.94897422409258
2,4,1.0,18,21.181483429773802
3,0,0.7975352112676056,485,570.7233035244608
3,1,0.44175491679273826,627,737.8216728037875
3,2,0.7385229540918163,746,877.8548132561809
3,3,1.0,23,27.065228826933193
3,4,1.0,20,23.53498158863756
4,0,0.8533333333333334,567,667.2167280378748
4,1,0.40444444444444444,618,727.2309310889005
4,2,0.6750756811301716,675,794.3056286165177
4,3,1.0,23,27.065228826933193
4,4,1.0,18,21.181483429773802
5,0,0.7065026362038664,428,503.6486059968438
5,1,0.5557522123893806,539,634.2677538137822
5,2,0.8884381338742393,889,1046.1299316149396
5,3,1.0,26,30.595476065228826
5,4,1.0,19,22.35823250920568
6,0,0.8109452736318408,543,638.9747501315097
6,1,0.5964523281596452,389,457.75539189900053
6,2,0.906187624750499,929,1093.1998947922145
6,3,1.0,23,27.065228826933193
6,4,1.0,17,20.004734350341923
7,0,0.8186440677966101,537,631.9142556549185
7,1,0.615909090909091,386,454.22514466070487
7,2,0.9054187192118227,936,1101.4371383482378
7,3,1.0,25,29.418726985796948
7,4,1.0,17,20.004734350341923
8,0,0.6031468531468531,380,447.16465018411367
8,1,0.4748700173310225,519,610.7327722251446
8,2,0.7745197168857432,766,901.3897948448185
8,3,0.11467889908256881,218,256.5312993161494
8,4,1.0,18,21.181483429773802
9,0,0.573943661971831,349,410.68542872172543
9,1,0.4955595026642984,520,611.9095213045766
9,2,0.7862823061630219,807,949.6365071015256
9,3,0.1339712918660287,209,245.9405576012625
9,4,1.0,16,18.827985270910048
10,0,0.872822299651568,527,620.1467648605997
10,1,0.7975,386,454.22514466070487
10,2,0.9335347432024169,944,1110.8511309836927
10,3,1.0,27,31.772225144660705
10,4,1.0,17,20.004734350341923
11,0,0.6701208981001727,417,490.7043661230931
11,1,0.5215605749486653,418,491.881115202525
11,2,0.9100478468899521,1017,1196.7538137822198
11,3,1.0,29,34.12572330352446
11,4,1.0,20,23.53498158863756
12,0,0.7417677642980935,464,546.0115728563914
12,1,0.46687211093990755,613,721.3471856917412
12,2,0.7898477157360406,783,921.3945291951604
12,3,1.0,25,29.418726985796948
12,4,1.0,16,18.827985270910048
13,0,0.78839590443686,504,593.0815360336666
13,1,0.4533551554828151,559,657.8027354024198
13,2,0.7889447236180904,795,935.515518148343
13,3,1.0,27,31.772225144660705
13,4,1.0,16,18.827985270910048
14,0,0.5658914728682171,471,554.2488164124145
14,1,0.5894206549118388,292,343.6107311941084
14,2,0.9265593561368209,935,1100.260389268806
14,3,1.0,25,29.418726985796948
14,4,0.0,178,209.4613361388743
15,0,0.6798623063683304,432,508.3556023145713
15,1,0.46190476190476193,582,684.8679642293529
15,2,0.7389969293756398,723,850.7895844292478
15,3,0.1643835616438356,146,171.8053655970542
15,4,1.0,18,21.181483429773802
16,0,0.698905109489051,390,458.93214097843236
16,1,0.6078799249530957,528,621.3235139400315
16,2,0.8201005025125628,819,963.7574960547081
16,3,1.0,23,27.065228826933193
16,4,0.11347517730496454,141,165.9216201998948
17,0,0.7486136783733827,408,480.1136244082062
17,1,0.492603550295858,673,791.9521304576538
17,2,0.783975659229209,776,913.1572856391373
17,3,1.0,29,34.12572330352446
17,4,1.0,15,17.65123619147817
18,0,0.8082437275985663,466,548.3650710152551
18,1,0.6252545824847251,471,554.2488164124145
18,2,0.8882294757665677,921,1083.7859021567597
18,3,1.0,24,28.24197790636507
18,4,1.0,19,22.35823250920568
19,0,0.7821138211382114,557,655.4492372435561
19,1,0.46678321678321677,515,606.0257759074171
19,2,0.7899497487437186,786,924.9247764334561
19,3,1.0,26,30.595476065228826
19,4,1.0,17,20.004734350341923
20,0,0.8209764918625678,460,541.3045765386639
20,1,0.5664335664335665,567,667.2167280378748
20,2,0.8370445344129555,832,979.0552340873224
20,3,1.0,26,30.595476065228826
20,4,1.0,16,18.827985270910048
21,0,0.7173553719008264,498,586.0210415570753
21,1,0.41545893719806765,559,657.8027354024198
21,2,0.8003992015968064,804,946.1062598632299
21,3,1.0,24,28.24197790636507
21,4,1.0,16,18.827985270910048
22,0,0.6983546617915904,385,453.04839558127304
22,1,0.5962616822429907,527,620.1467648605997
22,2,0.9155908639523337,944,1110.8511309836927
22,3,1.0,27,31.772225144660705
22,4,1.0,18,21.181483429773802
23,0,0.7001763668430335,427,502.47185691741186
23,1,0.4782608695652174,383,450.69489742240927
23,2,0.8785648574057038,1050,1235.586533403472
23,3,1.0,25,29.418726985796948
23,4,1.0,16,18.827985270910048
24,0,0.7052631578947368,433,509.5323513940032
24,1,0.43515850144092216,669,787.2451341399264
24,2,0.7630522088353414,760,894.3293003682273
24,3,1.0,22,25.888479747501314
24,4,1.0,17,20.004734350341923
25,0,0.8273381294964028,470,553.0720673329827
25,1,0.6070175438596491,564,663.6864807995792
25,2,0.8336755646817249,825,970.8179905312993
25,3,1.0,27,31.772225144660705
25,4,1.0,15,17.65123619147817
26,0,0.8234234234234235,466,548.3650710152551
26,1,0.5518394648829431,592,696.6354550236717
26,2,0.8159509202453987,800,941.3992635455023
26,3,1.0,27,31.772225144660705
26,4,1.0,16,18.827985270910048
27,0,0.681260945709282,413,485.99736980536557
27,1,0.4535928143712575,642,755.4729089952657
27,2,0.806484295845998,802,943.7527617043662
27,3,1.0,29,34.12572330352446
27,4,1.0,15,17.65123619147817
28,0,0.861646234676007,523,615.4397685428721
28,1,0.7417061611374408,401,471.8763808521831
28,2,0.9142572283150548,935,1100.260389268806
28,3,1.0,27,31.772225144660705
28,4,1.0,15,17.65123619147817
29,0,0.7591623036649214,463,544.8348237769595
29,1,0.6027944111776448,472,555.4255654918463
29,2,0.9049049049049049,922,1084.9626512361915
29,3,1.0,25,29.418726985796948
29,4,1.0,19,22.35823250920568
30,0,0.6188034188034188,395,464.8158863755918
30,1,0.4868651488616462,515,606.0257759074171
30,2,0.7846938775510204,772,908.4502893214097
30,3,0.11707317073170732,205,241.23356128353498
30,4,1.0,14,16.47448711204629
31,0,0.8769497400346621,541,636.6212519726461
31,1,0.5240641711229946,529,622.5002630194634
31,2,0.7921291624621595,787,926.101525512888
31,3,1.0,25,29.418726985796948
31,4,1.0,19,22.35823250920568
32,0,0.7359454855195912,501,589.5512887953709
32,1,0.5026086956521739,526,618.9700157811678
32,2,0.8141153081510935,827,973.1714886901631
32,3,1.0,29,34.12572330352446
32,4,1.0,18,21.181483429773802
33,0,0.7434094903339191,453,533.0673329826407
33,1,0.4677914110429448,617,726.0541820094687
33,2,0.788675429726997,789,928.4550236717516
33,3,1.0,26,30.595476065228826
33,4,1.0,16,18.827985270910048
34,0,0.8650519031141869,535,629.5607574960546
34,1,0.5618860510805501,471,554.2488164124145
34,2,0.8373253493013972,851,1001.4134665965281
34,3,1.0,28,32.94897422409258
34,4,1.0,16,18.827985270910048
35,0,0.568760611205433,380,447.16465018411367
35,1,0.502868068833652,469,551.8953182535507
35,2,0.8099902056807052,846,995.5297211993687
35,3,1.0,21,24.711730668069436
35,4,0.0,185,217.69857969489743
36,0,0.8395061728395061,506,595.4350341925302
36,1,0.5725338491295938,480,564.8395581273014
36,2,0.8417408506429278,873,1027.3019463440294
36,3,1.0,25,29.418726985796948
36,4,1.0,17,20.004734350341923
37,0,0.8112522686025408,450,529.5370857443451
37,1,0.6539325842696629,409,481.29037348763813
37,2,0.916988416988417,1001,1177.9258285113096
37,3,1.0,26,30.595476065228826
37,4,1.0,15,17.65123619147817
38,0,0.6066433566433567,369,434.220410310363
38,1,0.5369003690036901,509,598.9652814308259
38,2,0.798183652875883,797,937.8690163072067
38,3,0.11961722488038277,209,245.9405576012625
38,4,1.0,17,20.004734350341923
39,0,0.7791519434628975,472,555.4255654918463
39,1,0.5099667774086378,571,671.9237243556023
39,2,0.8203834510595358,817,961.4039978958442
39,3,1.0,24,28.24197790636507
39,4,1.0,17,20.004734350341923
40,0,0.7638888888888888,472,555.4255654918463
40,1,0.5826086956521739,389,457.75539189900053
40,2,0.8782112274024738,998,1174.3955812730144
40,3,1.0,23,27.065228826933193
40,4,1.0,19,22.35823250920568
41,0,0.8289036544850499,540,635.444502893214
41,1,0.4715447154471545,574,675.453971593898
41,2,0.7523029682702149,745,876.6780641767491
41,3,1.0,26,30.595476065228826
41,4,1.0,16,18.827985270910048
42,0,0.8047538200339559,507,596.611783271962
42,1,0.5070422535211268,537,631.9142556549185
42,2,0.8188259109311741,814,957.8737506575487
42,3,1.0,26,30.595476065228826
42,4,1.0,17,20.004734350341923
43,0,0.7903225806451613,561,660.1562335612834
43,1,0.3592436974789916,311,365.96896370331405
43,2,0.8282329713721619,872,1026.1251972645975
43,3,0.14788732394366197,142,167.09836927932668
43,4,1.0,15,17.65123619147817
44,0,0.7409948542024014,476,560.1325618095739
44,1,0.4565916398713826,572,673.1004734350341
44,2,0.7997987927565392,807,949.6365071015256
44,3,1.0,27,31.772225144660705
44,4,1.0,19,22.35823250920568
45,0,0.7705779334500875,472,555.4255654918463
45,1,0.6492027334851936,399,469.52288269331933
45,2,0.9477832512315271,985,1159.0978432403997
45,3,1.0,27,31.772225144660705
45,4,1.0,18,21.181483429773802
46,0,0.52023988005997,477,561.3093108890058
46,1,0.315712187958884,563,662.5097317201473
46,2,0.6780684104627767,674,793.1288795370858
46,3,1.0,23,27.065228826933193
46,4,0.0,164,192.98684902682797
47,0,0.6110154905335629,395,464.8158863755918
47,1,0.6155778894472361,310,364.79221462388216
47,2,0.8997078870496592,966,1136.7396107311943
47,3,0.11737089201877934,213,250.64755391899
47,4,1.0,17,20.004734350341923
48,0,0.7627118644067796,408,480.1136244082062
48,1,0.5956284153005464,546,642.5049973698054
48,2,0.8753709198813057,900,1059.0741714886901
48,3,1.0,28,32.94897422409258
48,4,1.0,19,22.35823250920568
49,0,0.7427101200686106,474,557.7790636507101
49,1,0.4931972789115646,540,635.444502893214
49,2,0.8366935483870968,844,993.176223040505
49,3,1.0,25,29.418726985796948
49,4,1.0,18,21.181483429773802
50,0,0.6003316749585407,422,496.5881115202525
50,1,0.4194831013916501,383,450.69489742240927
50,2,0.8137730358874878,881,1036.7159389794845
50,3,1.0,23,27.065228826933193
50,4,0.0,192,225.93582325092055
51,0,0.8188976377952756,596,701.3424513413993
51,1,0.6291079812206573,356,418.9226722777486
51,2,0.9129098360655737,906,1066.1346659652813
51,3,1.0,26,30.595476065228826
51,4,1.0,17,20.004734350341923
52,0,0.7965517241379311,499,587.1977906365072
52,1,0.652073732718894,397,467.16938453445556
52,2,0.9436201780415431,966,1136.7396107311943
52,3,1.0,24,28.24197790636507
52,4,1.0,15,17.65123619147817
53,0,0.6340579710144928,377,443.634402945818
53,1,0.48897795591182364,413,485.99736980536557
53,2,0.8070678127984718,891,1048.4834297738032
53,3,0.125,200,235.34981588637558
53,4,1.0,20,23.53498158863756
54,0,0.7629233511586453,456,536.5975802209364
54,1,0.6176470588235294,483,568.3698053655971
54,2,0.9023904382470119,923,1086.1394003156233
54,3,1.0,26,30.595476065228826
54,4,1.0,13,15.297738032614413
55,0,0.8356643356643356,496,583.6675433982115
55,1,0.6751918158567775,333,391.85744345081537
55,2,0.9302769818529131,1034,1216.7585481325618
55,3,1.0,25,29.418726985796948
55,4,1.0,13,15.297738032614413
56,0,0.6772388059701493,363,427.15991583377166
56,1,0.606,464,546.0115728563914
56,2,0.9199237368922784,1031,1213.228300894266
56,3,1.0,27,31.772225144660705
56,4,1.0,16,18.827985270910048
57,0,0.8232323232323232,535,629.5607574960546
57,1,0.5435606060606061,483,568.3698053655971
57,2,0.8421052631578947,841,989.6459758022094
57,3,1.0,26,30.595476065228826
57,4,1.0,16,18.827985270910048
58,0,0.76,423,497.76486059968437
58,1,0.5982532751091703,398,468.3461336138874
58,2,0.9289145052833814,1033,1215.5817990531298
58,3,1.0,28,32.94897422409258
58,4,1.0,19,22.35823250920568
59,0,0.8315789473684211,501,589.5512887953709
59,1,0.5464684014869888,503,591.9047869542345
59,2,0.8508064516129032,852,1002.59021567596
59,3,1.0,27,31.772225144660705
59,4,1.0,18,21.181483429773802
60,0,0.7894736842105263,518,609.5560231457127
60,1,0.42565597667638483,642,755.4729089952657
60,2,0.7002012072434608,701,824.9011046817465
60,3,1.0,26,30.595476065228826
60,4,1.0,14,16.47448711204629
61,0,0.7654941373534339,503,591.9047869542345
61,1,0.44894894894894893,624,734.2914255654919
61,2,0.7574819401444789,734,863.7338243029984
61,3,1.0,23,27.065228826933193
61,4,1.0,17,20.004734350341923
62,0,0.7983333333333333,524,616.616517622304
62,1,0.45233265720081134,404,475.4066280904787
62,2,0.8314285714285714,931,1095.5533929510784
62,3,1.0,24,28.24197790636507
62,4,1.0,18,21.181483429773802
63,0,0.7168458781362007,425,500.11835875854814
63,1,0.4800637958532695,595,700.1657022619675
63,2,0.8192651439920556,839,987.2924776433457
63,3,1.0,25,29.418726985796948
63,4,1.0,17,20.004734350341923
64,0,0.5912280701754385,369,434.220410310363
64,1,0.46846846846846846,487,573.0768016833246
64,2,0.7538610038610039,822,967.2877432930036
64,3,0.11165048543689321,206,242.41031036296687
64,4,1.0,17,20.004734350341923
65,0,0.8983957219251337,527,620.1467648605997
65,1,0.5853658536585366,509,598.9652814308259
65,2,0.8225806451612904,823,968.4644923724356
65,3,1.0,25,29.418726985796948
65,4,1.0,17,20.004734350341923
66,0,0.760539629005059,509,598.9652814308259
66,1,0.6089743589743589,415,488.35086796422934
66,2,0.9174950298210736,939,1104.9673855865333
66,3,1.0,23,27.065228826933193
66,4,1.0,15,17.65123619147817
67,0,0.5795847750865052,387,455.40189374013676
67,1,0.41139240506329117,337,396.5644397685429
67,2,0.8005540166204986,951,1119.088374539716
67,3,0.125,208,244.7638085218306
67,4,1.0,18,21.181483429773802
68,0,0.8125,469,551.8953182535507
68,1,0.47709320695102686,608,715.4634402945818
68,2,0.7609561752988048,782,920.2177801157286
68,3,1.0,26,30.595476065228826
68,4,1.0,16,18.827985270910048
69,0,0.6608695652173913,420,494.23461336138877
69,1,0.42251461988304095,627,737.8216728037875
69,2,0.785140562248996,806,948.4597580220936
69,3,1.0,29,34.12572330352446
69,4,1.0,19,22.35823250920568
70,0,0.5723684210526315,416,489.5276170436612
70,1,0.39865996649916247,509,598.9652814308259
70,2,0.7387836490528414,751,883.7385586533403
70,3,0.11594202898550725,207,243.58705944239873
70,4,1.0,18,21.181483429773802
71,0,0.8551483420593369,519,610.7327722251446
71,1,0.5448154657293497,542,637.7980010520779
71,2,0.8052738336713996,800,941.3992635455023
71,3,1.0,24,28.24197790636507
71,4,1.0,16,18.827985270910048
72,0,0.8321428571428572,485,570.7233035244608
72,1,0.47147147147147145,648,762.5334034718569
72,2,0.733739837398374,723,850.7895844292478
72,3,1.0,28,32.94897422409258
72,4,1.0,17,20.004734350341923
73,0,0.8603448275862069,545,641.3282482903735
73,1,0.4748322147651007,533,627.207259337191
73,2,0.7420634920634921,779,916.6875328774329
73,3,1.0,26,30.595476065228826
73,4,1.0,18,21.181483429773802
74,0,0.8926056338028169,528,621.3235139400315
74,1,0.5473098330241187,515,606.0257759074171
74,2,0.812625250501002,816,960.2272488164124
74,3,1.0,24,28.24197790636507
74,4,1.0,18,21.181483429773802
75,0,0.8822495606326889,535,629.5607574960546
75,1,0.7016706443914081,377,443.634402945818
75,2,0.926073926073926,944,1110.8511309836927
75,3,1.0,25,29.418726985796948
75,4,1.0,20,23.53498158863756
76,0,0.7955326460481099,499,587.1977906365072
76,1,0.5265588914549654,334,393.0341925302472
76,2,0.8675373134328358,1021,1201.4608100999474
76,3,1.0,28,32.94897422409258
76,4,1.0,19,22.35823250920568
77,0,0.7061855670103093,449,528.3603366649132
77,1,0.5043630017452007,538,633.0910047343503
77,2,0.8424182358771061,870,1023.7716991057338
77,3,1.0,26,30.595476065228826
77,4,1.0,18,21.181483429773802
78,0,0.7855887521968365,484,569.546554445029
78,1,0.47191011235955055,587,690.7517096265124
78,2,0.7863590772316951,786,924.9247764334561
78,3,1.0,26,30.595476065228826
78,4,1.0,18,21.181483429773802
79,0,0.5877342419080068,384,451.8716465018411
79,1,0.5413533834586466,480,564.8395581273014
79,2,0.8335046248715313,812,955.5202524986848
79,3,0.1111111111111111,207,243.58705944239873
79,4,1.0,18,21.181483429773802
80,0,0.8095238095238095,450,529.5370857443451
80,1,0.5428082191780822,569,669.5702261967385
80,2,0.8248248248248248,837,984.9389794844818
80,3,1.0,26,30.595476065228826
80,4,1.0,19,22.35823250920568
81,0,0.7355371900826446,501,589.5512887953709
81,1,0.41867954911433175,560,658.9794844818516
81,2,0.7838645418326693,800,941.3992635455023
81,3,1.0,24,28.24197790636507
81,4,1.0,16,18.827985270910048
82,0,0.8094405594405595,500,588.374539715939
82,1,0.6543778801843319,385,453.04839558127304
82,2,0.9245837414299706,974,1146.1536033666491
82,3,1.0,26,30.595476065228826
82,4,1.0,16,18.827985270910048
83,0,0.6843910806174958,436,513.0625986322988
83,1,0.4506172839506173,615,723.7006838506048
83,2,0.8125,809,951.9900052603892
83,3,1.0,25,29.418726985796948
83,4,1.0,16,18.827985270910048
84,0,0.7359154929577465,429,504.8253550762756
84,1,0.47235387045813587,614,722.523934771173
84,2,0.798804780876494,819,963.7574960547081
84,3,1.0,25,29.418726985796948
84,4,1.0,14,16.47448711204629
85,0,0.6556521739130434,419,493.0578642819568
85,1,0.4821763602251407,444,522.4765912677539
