Feature,Cluster,N,Mean,Median,Q1,Q3,SD
Age,0,635,45.81259842519685,45.0,36.0,56.0,12.866378263123492
Age,1,390,49.62307692307692,50.0,42.0,58.0,9.843713469945495
Age,2,1162,43.16006884681583,42.0,36.0,51.0,11.097105922601793
Age,3,30,45.86666666666667,45.5,40.5,55.0,11.09126196399774
Age,4,20,45.65,44.0,34.5,59.25,15.044757786089654
Income,0,635,74121.39291338583,73705.0,66379.5,80690.0,26961.920530408086
Income,1,390,60605.92692307692,60127.0,53619.75,66631.0,11644.6558432895
Income,2,1162,37077.64371772805,36309.0,27126.75,46077.75,15078.189245836069
Income,3,30,71054.83333333333,70896.5,56673.25,84895.75,16069.844236919365
Income,4,20,45672.4,39341.0,36277.5,59853.0,19618.59591091548
Kidhome,0,635,0.07559055118110236,0.0,0.0,0.0,0.2874110849841699
Kidhome,1,390,0.18205128205128204,0.0,0.0,0.0,0.39297938803446925
Kidhome,2,1162,0.7401032702237521,1.0,0.0,1.0,0.5146528124077283
Kidhome,3,30,0.06666666666666667,0.0,0.0,0.0,0.2537081317024624
Kidhome,4,20,0.65,1.0,0.0,1.0,0.5871429486123998
Teenhome,0,635,0.2551181102362205,0.0,0.0,0.0,0.4539883997422446
Teenhome,1,390,0.9512820512820512,1.0,1.0,1.0,0.40585166720066623
Teenhome,2,1162,0.49569707401032703,0.0,0.0,1.0,0.5367449710716994
Teenhome,3,30,0.43333333333333335,0.0,0.0,1.0,0.5683207771559353
Teenhome,4,20,0.55,0.5,0.0,1.0,0.6048053188292994
Recency,0,635,47.68346456692913,48.0,24.0,71.0,28.4507814637107
Recency,1,390,54.05897435897436,56.5,29.0,80.0,28.487928422112454
Recency,2,1162,48.2013769363167,48.0,23.0,75.0,29.21609879442556
Recency,3,30,48.666666666666664,52.5,25.0,74.75,31.607870400651283
Recency,4,20,50.75,48.5,30.25,68.75,27.196894172526004
TenureDays,0,635,365.08031496062995,386.0,193.0,536.5,206.55463031821466
TenureDays,1,390,393.3179487179487,405.5,258.5,543.0,185.5197699008358
TenureDays,2,1162,332.7814113597246,322.0,152.0,503.0,202.6232411284039
TenureDays,3,30,364.1,384.5,192.25,534.25,205.68310912496037
TenureDays,4,20,429.7,526.0,303.25,596.25,193.28138745580782
TotalSpend,0,635,1281.0267716535434,1234.0,968.5,1586.0,446.39680567288525
TotalSpend,1,390,817.5333333333333,734.0,521.0,1027.75,404.58461057268806
TotalSpend,2,1162,151.1944922547332,74.0,42.0,193.75,195.72488567893296
TotalSpend,3,30,1307.6666666666667,1375.0,1129.5,1717.25,555.4220100026666
TotalSpend,4,20,392.0,95.5,52.75,667.25,437.23978727804194
TotalPurchases,0,635,19.481889763779527,19.0,16.0,22.5,4.395391501869405
TotalPurchases,1,390,17.605128205128207,17.0,15.0,20.0,4.034934129357166
TotalPurchases,2,1162,6.930292598967298,6.0,4.0,9.0,3.836601651368074
TotalPurchases,3,30,18.233333333333334,18.5,16.0,22.0,5.834991554131129
TotalPurchases,4,20,11.2,7.0,5.0,16.5,8.1602373546491
MntWines,0,635,560.371653543307,516.0,332.0,768.5,306.70759585139024
MntWines,1,390,531.0538461538462,489.5,315.0,688.25,292.2148462575847
MntWines,2,1162,74.52409638554217,27.0,9.0,86.0,128.90917762873787
MntWines,3,30,898.6666666666666,1044.5,637.75,1246.25,467.48677527548443
MntWines,4,20,176.7,34.0,16.75,310.75,211.11211788002475
MntMeatProducts,0,635,416.41574803149604,384.0,216.0,559.5,256.9616581475094
MntMeatProducts,1,390,153.72564102564104,116.5,68.0,195.0,134.86620660981265
MntMeatProducts,2,1162,33.69449225473322,17.0,8.0,43.0,43.57551629000025
MntMeatProducts,3,30,250.3,136.5,71.75,339.5,245.2461325224954
MntMeatProducts,4,20,117.7,32.5,14.0,171.0,162.2321598334021
MntGoldProds,0,635,74.44409448818898,54.0,30.0,107.0,59.05478883337994
MntGoldProds,1,390,61.15384615384615,40.5,17.0,90.0,57.627086988974916
MntGoldProds,2,1162,21.249569707401033,12.0,4.0,25.0,31.008092978017523
MntGoldProds,3,30,66.4,46.0,30.0,96.0,53.36898233864001
MntGoldProds,4,20,27.6,13.5,5.75,26.75,40.93435052167775
NumWebPurchases,0,635,5.486614173228347,5.0,4.0,7.0,2.3524724293206134
NumWebPurchases,1,390,6.338461538461538,6.0,4.0,8.0,3.008694802349351
NumWebPurchases,2,1162,2.5524956970740105,2.0,1.0,3.0,1.8269910881674578
NumWebPurchases,3,30,4.9,5.0,2.25,6.0,2.771156860379359
NumWebPurchases,4,20,3.7,3.0,2.0,5.0,2.9575950400710087
NumCatalogPurchases,0,635,5.570078740157481,5.0,4.0,7.0,2.960739819319131
NumCatalogPurchases,1,390,3.2615384615384615,3.0,2.0,4.0,2.150699698975895
NumCatalogPurchases,2,1162,0.8175559380378657,1.0,0.0,1.0,1.2155048641689115
NumCatalogPurchases,3,30,5.166666666666667,4.5,3.0,7.0,2.7553500726747058
NumCatalogPurchases,4,20,2.1,0.5,0.0,3.25,2.900090742681938
NumStorePurchases,0,635,8.4251968503937,8.0,6.0,11.0,2.8680764529651497
NumStorePurchases,1,390,8.005128205128205,8.0,6.0,10.0,2.7038911994536003
NumStorePurchases,2,1162,3.5602409638554215,3.0,3.0,4.0,1.5374406097028865
NumStorePurchases,3,30,8.166666666666666,8.0,6.0,11.0,3.2598215873892844
NumStorePurchases,4,20,5.4,3.5,3.0,8.0,3.604091242492416
NumWebVisitsMonth,0,635,3.2456692913385825,3.0,2.0,5.0,2.035828755879739
NumWebVisitsMonth,1,390,5.425641025641026,6.0,4.0,7.0,1.9421872953820438
NumWebVisitsMonth,2,1162,6.411359724612737,7.0,5.0,8.0,2.0076018431834926
NumWebVisitsMonth,3,30,5.166666666666667,5.5,3.25,7.0,2.290660698746458
NumWebVisitsMonth,4,20,5.85,7.0,4.5,8.0,2.412140346794021
PreviousCampaignAcceptances,0,635,0.5181102362204725,0.0,0.0,1.0,0.8596655246822633
PreviousCampaignAcceptances,1,390,0.33589743589743587,0.0,0.0,1.0,0.5890985573536781
PreviousCampaignAcceptances,2,1162,0.0981067125645439,0.0,0.0,0.0,0.300467386085958
PreviousCampaignAcceptances,3,30,2.966666666666667,3.0,2.0,4.0,0.9278574999588488
PreviousCampaignAcceptances,4,20,0.15,0.0,0.0,0.0,0.4893604849295929
