Feature,Kruskal_H,Raw_P_Value,Epsilon_Squared,BH_Adjusted_P,Significant_BH,Effect_Magnitude
TotalSpend,1582.493486234429,0.0,0.707210343294995,0.0,True,Large
TotalPurchases,1465.8627277011985,0.0,0.654956419220967,0.0,True,Large
MntMeatProducts,1460.2432468541715,0.0,0.6524387306694317,0.0,True,Large
Income,1419.710176720842,3.678182303727972e-306,0.6342787530111299,1.4712729214911887e-305,True,Large
MntWines,1398.3919891823543,1.5426144752691046e-301,0.6247275937196928,4.936366320861135e-301,True,Large
NumCatalogPurchases,1388.8494075441072,1.8089775147142038e-299,0.6204522435233455,4.823940039237876e-299,True,Large
NumStorePurchases,1270.153664832085,9.84341226702124e-274,0.5672731473262029,2.249922803890569e-273,True,Large
NumWebPurchases,905.5133411993709,1.0643864476720266e-194,0.4039038267022271,2.1287728953440532e-194,True,Large
Kidhome,802.8077860893046,1.893068852311129e-172,0.3578887930507637,3.365455737442007e-172,True,Large
MntGoldProds,697.0298387296567,1.5323549572075006e-149,0.310497239574219,2.4517679315320007e-149,True,Large
NumWebVisitsMonth,691.5343171454891,2.3728428055344825e-148,0.308035088326832,3.451407717141065e-148,True,Large
Teenhome,407.7817896729841,5.792047587589653e-87,0.1809058197459606,7.722730116786204e-87,True,Large
PreviousCampaignAcceptances,332.8582196849323,8.802112917897165e-71,0.14733791204522056,1.0833369745104204e-70,True,Large
Age,97.52909959696761,3.301757625609549e-20,0.041903718457422766,3.773437286410913e-20,True,Small
TenureDays,31.936207647179106,1.9713962940807402e-06,0.012516222064148345,2.102822713686123e-06,True,Small
Recency,14.144828397223344,0.006846884115339663,0.0045451740130928965,0.006846884115339663,True,Negligible
