Feature,Cluster_A,Cluster_B,N_A,N_B,Median_A,Median_B,U_Statistic,Raw_P_Value,Rank_Biserial,Abs_Rank_Biserial,Holm_Adjusted_P,Significant_Holm
Age,0,1,635,390,45.0,50.0,101612.0,1.3736804059877842e-06,-0.17939026852412676,0.17939026852412676,1.2363123653890058e-05,True
Age,0,2,635,1162,45.0,42.0,413877.0,1.905675322988136e-05,0.12181549595457186,0.12181549595457186,0.00015245402583905087,True
Age,0,3,635,30,45.0,45.5,9305.5,0.8312892119155443,-0.023044619422572188,0.023044619422572188,1.0,False
Age,0,4,635,20,45.0,44.0,6447.5,0.907297195990251,0.015354330708661434,0.015354330708661434,1.0,False
Age,1,2,390,1162,50.0,42.0,303525.0,9.205864253629302e-24,0.33953396001588776,0.33953396001588776,9.205864253629302e-23,True
Age,1,3,390,30,50.0,45.5,6848.0,0.11929694415798625,0.17059829059829057,0.17059829059829057,0.7157816649479175,False
Age,1,4,390,20,50.0,44.0,4565.0,0.19834857589207544,0.17051282051282057,0.17051282051282057,0.9917428794603772,False
Age,2,3,1162,30,42.0,45.5,14367.0,0.09981585401746543,-0.17573149741824445,0.17573149741824445,0.698710978122258,False
Age,2,4,1162,20,42.0,44.0,10741.0,0.5614871434206155,-0.07564543889845099,0.07564543889845099,1.0,False
Age,3,4,30,20,45.5,44.0,302.5,0.9683784737918052,0.008333333333333304,0.008333333333333304,1.0,False
Income,0,1,635,390,73705.0,60127.0,197599.0,7.588965937712888e-58,0.5957924490207955,0.5957924490207955,6.07117275017031e-57,True
Income,0,2,635,1162,73705.0,36309.0,715151.5,9.005100257461715e-238,0.9384214021440092,0.9384214021440092,9.005100257461715e-237,True
Income,0,3,635,30,73705.0,70896.5,10043.0,0.6147616353811993,0.05438320209973746,0.05438320209973746,0.6147616353811993,False
Income,0,4,635,20,73705.0,39341.0,11015.0,2.1668656924516907e-08,0.7346456692913386,0.7346456692913386,1.3001194154710145e-07,True
Income,1,2,390,1162,60127.0,36309.0,414857.0,1.8981321936672635e-133,0.8308707356900129,0.8308707356900129,1.7083189743005372e-132,True
Income,1,3,390,30,60127.0,70896.5,3742.5,0.001006548665393812,-0.3602564102564103,0.3602564102564103,0.003019645996181436,True
Income,1,4,390,20,60127.0,39341.0,5780.0,0.0002765208284805803,0.4820512820512821,0.4820512820512821,0.0011060833139223212,True
Income,2,3,1162,30,36309.0,70896.5,1766.0,3.9668231881393684e-17,-0.8986804360298336,0.8986804360298336,2.7767762316975577e-16,True
Income,2,4,1162,20,36309.0,39341.0,8670.0,0.051339751060888075,-0.25387263339070565,0.25387263339070565,0.10267950212177615,False
Income,3,4,30,20,70896.5,39341.0,501.0,7.158107943367352e-05,0.6699999999999999,0.6699999999999999,0.00035790539716836763,True
Kidhome,0,1,635,390,0.0,0.0,110298.0,6.797341751431739e-08,-0.10924288310115082,0.10924288310115082,4.078405050859043e-07,True
